Date	Price	Open	High	Low	Vol.	Change
Apr 09, 2020	17621.62	17685.56	17756.01	17360.48	553.98M	1.39
Apr 08, 2020	17380.82	17212.38	17405.79	17196.03	476.31M	+AC0-0.18
Apr 07, 2020	17411.72	17587.81	17887.12	17177.73	679.85M	2.19
Apr 06, 2020	17039.31	16769.13	17053.91	16764.81	528.13M	4.00
Apr 03, 2020	16384.35	16742.07	16791.08	16384.35	547.57M	+AC0-2.67
Apr 02, 2020	16834.03	16660.09	16878.3	16413.72	580.52M	1.75
Apr 01, 2020	16544.97	16600.06	16845.15	16500.42	515.03M	+AC0-2.97
Mar 31, 2020	17050.94	17096.96	17292.15	16694.89	698.06M	1.06
Mar 30, 2020	16872.41	16855.94	16925.07	16312.9	551.31M	0.30
Mar 27, 2020	16822.59	17039.45	17283.44	16666.74	590.90M	+AC0-3.15
Mar 26, 2020	17369.38	16876.51	17369.38	16834.79	712.23M	0.73
Mar 25, 2020	17243.68	17246.83	17830.36	16581.76	906.28M	1.74
Mar 24, 2020	16948.6	15977.53	16948.6	15969.74	847.37M	8.93
Mar 23, 2020	15559.8	15318.26	15788.7	15091.98	768.02M	+AC0-1.09
Mar 20, 2020	15731.85	15772.98	16180.17	15616.9	1.22B	1.71
Mar 19, 2020	15466.97	15417.2	15844.08	15038.08	1.02B	2.29
Mar 18, 2020	15120.48	14985.81	15438.23	14791.72	796.19M	+AC0-1.27
Mar 17, 2020	15314.77	15420.49	15809.66	14695.72	1.04B	2.23
Mar 16, 2020	14980.34	15697.47	15699.27	14153.09	1.22B	+AC0-6.10
Mar 13, 2020	15954.29	15108.11	17545.44	15106.6	1.27B	7.12
Mar 12, 2020	14894.44	17654.04	17659.86	14894.44	1.54B	+AC0-16.92
Mar 11, 2020	17928.64	18171.76	18410.29	17674.69	916.16M	0.33
Mar 10, 2020	17870.18	18653.9	19174.77	17771.88	1.10B	+AC0-3.28
Mar 09, 2020	18475.91	20780.87	20780.87	18346.4	1.27B	+AC0-11.17
Mar 06, 2020	20799.89	20986.89	21151.36	20624.42	864.92M	+AC0-3.50
Mar 05, 2020	21554.88	22011.67	22034.94	21362.09	772.85M	+AC0-1.78
Mar 04, 2020	21946.03	21739.8	22204.01	21499.93	724.37M	0.91
Mar 03, 2020	21748.2	22116.28	22340.46	21651.36	799.97M	0.43
Mar 02, 2020	21655.09	22333.17	22361.13	21118.83	924.41M	+AC0-1.50
Feb 28, 2020	21984.21	22058.99	22334.72	21697.94	1.05B	+AC0-3.58
Feb 27, 2020	22799.37	22968.63	23077.82	22479.6	781.15M	+AC0-2.66
Feb 26, 2020	23422.54	22961.01	23599.85	22637.93	737.76M	1.44
Feb 25, 2020	23090.44	23585.59	23630.43	23046.19	664.95M	+AC0-1.44
Feb 24, 2020	23427.19	23918.6	24005.21	23255.26	977.13M	+AC0-5.43
Feb 21, 2020	24773.15	24979.32	25129.98	24670.24	638.71M	+AC0-1.22
Feb 20, 2020	25080.16	25414.77	25419.96	25080.16	445.15M	+AC0-1.56
Feb 19, 2020	25477.55	25352.69	25483.05	25271.72	464.70M	1.01
Feb 18, 2020	25223.51	24985.71	25389.46	24969.75	737.04M	0.41
Feb 17, 2020	25120.54	24961.76	25120.54	24903	315.46M	1.02
